Code,Browser,CLDR Short Name,category
U+1F469,👩‍👦‍👦,"family: woman, boy, boy",여성/가족
U+1F469,👩‍👧,"family: woman, girl",여성/가족
U+1F469,👩‍👧‍👦,"family: woman, girl, boy",여성/가족
U+1F469,👩‍👧‍👧,"family: woman, girl, girl",여성/가족
U+1F5E3,🗣,speaking head,0
U+1F464,👤,bust in silhouette,0
U+1F465,👥,busts in silhouette,0
U+1FAC2,🫂,people hugging,0
U+1F463,👣,footprints,0
U+1F9B0,🦰,red hair,0
U+1F9B1,🦱,curly hair,0
U+1F9B3,🦳,white hair,0
U+1F9B2,🦲,bald,0
U+1F435,🐵,monkey face,0
U+1F412,🐒,monkey,0
U+1F98D,🦍,gorilla,0
U+1F9A7,🦧,orangutan,0
U+1F436,🐶,dog face,0
U+1F415,🐕,dog,0
U+1F9AE,🦮,guide dog,0
U+1F415,🐕‍🦺,service dog,0
U+1F429,🐩,poodle,0
U+1F43A,🐺,wolf,0
U+1F98A,🦊,fox,0
U+1F99D,🦝,raccoon,0
U+1F431,🐱,cat face,0
U+1F408,🐈,cat,0
U+1F408,🐈‍⬛,black cat,0
U+1F981,🦁,lion,0
U+1F42F,🐯,tiger face,0
U+1F405,🐅,tiger,0
U+1F406,🐆,leopard,0
U+1F434,🐴,horse face,0
U+1F40E,🐎,horse,0
U+1F984,🦄,unicorn,0
U+1F993,🦓,zebra,0
U+1F98C,🦌,deer,0
U+1F9AC,🦬,bison,0
U+1F42E,🐮,cow face,0
U+1F402,🐂,ox,0
U+1F403,🐃,water buffalo,0
U+1F404,🐄,cow,0
U+1F437,🐷,pig face,0
U+1F416,🐖,pig,0
U+1F417,🐗,boar,0
U+1F43D,🐽,pig nose,0
U+1F40F,🐏,ram,0
U+1F411,🐑,ewe,0
U+1F410,🐐,goat,0
U+1F42A,🐪,camel,0
U+1F42B,🐫,two-hump camel,0
U+1F999,🦙,llama,0
U+1F992,🦒,giraffe,0
U+1F418,🐘,elephant,0
U+1F9A3,🦣,mammoth,0
U+1F98F,🦏,rhinoceros,0
U+1F99B,🦛,hippopotamus,0
U+1F42D,🐭,mouse face,0
U+1F401,🐁,mouse,0
U+1F400,🐀,rat,0
U+1F439,🐹,hamster,0
U+1F430,🐰,rabbit face,0
U+1F407,🐇,rabbit,0
U+1F43F,🐿,chipmunk,0
U+1F9AB,🦫,beaver,0
U+1F994,🦔,hedgehog,0
U+1F987,🦇,bat,0
U+1F43B,🐻,bear,0
U+1F43B,🐻‍❄️,polar bear,0
U+1F428,🐨,koala,0
U+1F43C,🐼,panda,0
U+1F9A5,🦥,sloth,0
U+1F9A6,🦦,otter,0
U+1F9A8,🦨,skunk,0
U+1F998,🦘,kangaroo,0
U+1F9A1,🦡,badger,0
U+1F43E,🐾,paw prints,0
U+1F983,🦃,turkey,0
U+1F414,🐔,chicken,0
U+1F413,🐓,rooster,0
U+1F423,🐣,hatching chick,0
U+1F424,🐤,baby chick,0
U+1F425,🐥,front-facing baby chick,0
U+1F426,🐦,bird,0
U+1F427,🐧,penguin,0
U+1F54A,🕊,dove,0
U+1F985,🦅,eagle,0
U+1F986,🦆,duck,0
U+1F9A2,🦢,swan,0
U+1F989,🦉,owl,0
U+1F9A4,🦤,dodo,0
U+1FAB6,🪶,feather,0
U+1F9A9,🦩,flamingo,0
U+1F99A,🦚,peacock,0
U+1F99C,🦜,parrot,0
U+1F438,🐸,frog,0
U+1F40A,🐊,crocodile,0
U+1F422,🐢,turtle,0
U+1F98E,🦎,lizard,0
U+1F40D,🐍,snake,0
U+1F432,🐲,dragon face,0
U+1F409,🐉,dragon,0
U+1F995,🦕,sauropod,0
U+1F996,🦖,T-Rex,0
U+1F433,🐳,spouting whale,0
U+1F40B,🐋,whale,0
U+1F42C,🐬,dolphin,0
U+1F9AD,🦭,seal,0
U+1F41F,🐟,fish,0
U+1F420,🐠,tropical fish,0
U+1F421,🐡,blowfish,0
U+1F988,🦈,shark,0
U+1F419,🐙,octopus,0
U+1F41A,🐚,spiral shell,0
U+1FAB8,🪸,⊛ coral,0
U+1F40C,🐌,snail,0
U+1F98B,🦋,butterfly,0
U+1F41B,🐛,bug,0
U+1F41C,🐜,ant,0
U+1F41D,🐝,honeybee,0
U+1FAB2,🪲,beetle,0
U+1F41E,🐞,lady beetle,0
U+1F997,🦗,cricket,0
U+1FAB3,🪳,cockroach,0
U+1F577,🕷,spider,0
U+1F578,🕸,spider web,0
U+1F982,🦂,scorpion,0
U+1F99F,🦟,mosquito,0
U+1FAB0,🪰,fly,0
U+1FAB1,🪱,worm,0
U+1F9A0,🦠,microbe,0
U+1F490,💐,bouquet,0
U+1F338,🌸,cherry blossom,0
U+1F4AE,💮,white flower,0
U+1FAB7,🪷,⊛ lotus,0
U+1F3F5,🏵,rosette,0
U+1F339,🌹,rose,0
U+1F940,🥀,wilted flower,0
U+1F33A,🌺,hibiscus,0
U+1F33B,🌻,sunflower,0
U+1F33C,🌼,blossom,0
U+1F337,🌷,tulip,0
U+1F331,🌱,seedling,0
U+1FAB4,🪴,potted plant,0
U+1F332,🌲,evergreen tree,0
U+1F333,🌳,deciduous tree,0
U+1F334,🌴,palm tree,0
U+1F335,🌵,cactus,0
U+1F33E,🌾,sheaf of rice,0
U+1F33F,🌿,herb,0
U+2618,☘,shamrock,0
U+1F340,🍀,four leaf clover,0
U+1F341,🍁,maple leaf,0
U+1F342,🍂,fallen leaf,0
U+1F343,🍃,leaf fluttering in wind,0
U+1FAB9,🪹,⊛ empty nest,0
U+1FABA,🪺,⊛ nest with eggs,0
U+1F347,🍇,grapes,0
U+1F348,🍈,melon,0
